Kode I-O,Nama Sektor, Kode sektor KSM , Klasifikasi Sektor Makro (KSM) , KSM (17 Sektor) ,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,180,301,302,303,304,305,309,310,409,509,600,700
10,Kakao,A.1.c,Tanaman Perkebunan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,126027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138182.61,0,302.85,0,6672.01,0,0,0,0,0,0,0,4731.64,0,0,0,0,0,0,0,0,0,0,0,163.7,0,0,0,0,0,45.3,0,0,0,276125.11,67.28509584,0,1631721.09,5534.799697,2928491.507,4565814.682,4841939.791,0,0,4841939.791,4841939.791
11,Kopi,A.1.c,Tanaman Perkebunan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,4837.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.3,0,0,0,11684.69,0,0,0,0,0,0,0,202.96,0,0,0,0,0,0,0,0,0,0,390.74,6123.51,0,0,0,0,0,68.59,0,0,0,23368.64,64234.72978,0,3491.75972,147.58407,2176.066046,70050.13961,93418.78389,0,0,93418.78389,93418.78389
12,Cengkeh,A.1.c,Tanaman Perkebunan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,0,5620.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5620.02,8760.173729,0,394353.9881,1525.207537,307898.455,712537.8243,718157.8439,0,0,718157.8439,718157.8439
13,Komoditas perkebunan lainnya,A.1.c,Tanaman Perkebunan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,0,0,60773.58,0,0,3.84,0,0,0,0,0,0,0,0,0,0,0,183.04,1.66,2597.98,0,78598.93,20.61,6.63,0,0,0,10.48,44314.02,26022.91,0,0,0,97.73,0,0,0,0,0,0,579.66,3646.99,0,0,0,0,731.42,105.78,28.95,0,0,217724.2,12492.21952,0,804666.5658,1284.674563,131076.147,949519.607,1167243.81,0,0,1167243.81,1167243.81
14,Sapi/kerbau dan kambing/domba,A.1.d,Peternakan,"Pertanian, Kehutanan, dan Perikanan",1200.17,300.29,24.62,257.93,4874.48,7873.56,2345.54,2156.61,862.13,23088.21,23.15,919.62,1436.62,39485.62,0,1464.75,864.37,806.67,0.11,0,0,0,378.03,0,0,0,0,0,0,554.35,0,183.38,0,0,0,0,0,5.07,0,65.82,0,0,0.23,0,0,0,0,0,0,0,0,676.15,0,0,0,0,2347.14,1.27,514.29,0,0,92710.19,496510.3897,0,3376908.874,1452.618962,0.016707308,3874871.899,3967582.085,0,0,3967582.085,3967582.085
15,Unggas,A.1.d,Peternakan,"Pertanian, Kehutanan, dan Perikanan",1165.18,390.16,35.42,300.43,5180.73,8815.03,1738.32,25.83,83.07,28575.49,3.22,608.66,530.73,1477.34,11762.53,999.44,0,0,0,0,0,0,0,0,0,0,0,0.35,0,1037.07,0,1445.51,0,0,0,0,0,0,0,923.35,0,0,0,0,0,0,0,104.45,0,0,3794.23,18288.28,0,0,0,0,5653.02,26278.97,561.73,1503.23,0,121281.78,431578.7019,0,150145.7498,4.332554128,4.32069E-05,581728.7843,703010.5665,0,0,703010.5665,703010.5665
16,Produk peternakan lainnya,A.1.d,Peternakan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,0,0,0,8.13,112.13,1929.24,0,0,0.27,0,0,0,0,0,0,0,0,0,0,874.18,0,18387.56,0,0,0,0,0,0,0,20341.23,0,0,0,0,0,0,0,1631.4,0,0,6399.68,40877.32,0,0,0,0,1423.94,73241.61,3216.21,14362.46,0,182805.36,107677.7587,0,2486.594626,67.45867356,0.000503977,110231.8125,293037.1708,0,0,293037.1708,293037.1708
17,Kayu,A.2,Kehutanan dan Penebangan Kayu,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,40.63,448.1,0,0,0,0,0,0,24.42,2717.21,10.47,6.19,75307.6,2.35,0.76,0.21,0,0.62,0.15,0,0,0,22.22,0,39.98,5.64,0,297.43,552980.65,10201.95,2718.09,0,0,2.88,92.18,36658.14,0,0,0,244334,0,0,0,0,0,0,8.1,15.49,2125.99,0,0,42.79,26.28,49.6,5.8,0,0,928185.93,64912.77357,0,0,987.2952176,627290.5979,693190.6667,1621376.598,0,0,1621376.598,1621376.598
18,"Rotan & hasil hutan bukan kayu lainnya (damar, getah, bambu, dll.)",A.2,Kehutanan dan Penebangan Kayu,"Pertanian, Kehutanan, dan Perikanan",14.76,11.69,1.74,21.55,31,15.27,31.5,18.78,21.27,3025.91,1.05,78.68,34.4,2373.55,0,0.3,8.89,4096.9,0.57,0.59,0,0.82,53.25,0,0,0,0,0,0,7.85,0,10.61,22522.35,2645.64,9169.84,145.81,0,0,1429.76,17146.3,0,0,0,256500.08,0,0,0,0,0,0,6.24,48.68,0,0,0,0,2.73,1963.65,1.75,0,0,321443.77,11495.63783,0,0,2955.384946,69616.0759,84067.09868,405510.8666,0,0,405510.8666,405510.8666
19,Perikanan tangkap laut,A.3,Perikanan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.58,1.5,0,0,201.87,18.76,0,3.53,1.94,0,0,0,0,0,30584.83,41.29,0,53.39,0,0,0,0,0,0,0,457.51,0,0,0,0,0,0,0,500.9,0,0,825.96,1408.11,0,0,0,0,1448.99,6165.85,749.23,312.82,0,43047.07,0,0,0,0,13124.0189,13124.0189,56171.08593,0,0,56171.08593,56171.08593
20,Perikanan budidaya payau/laut (tambak/keramba),A.3,Perikanan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,220.94,0.74,0,0,0,256.48,0,0.07,0.04,0,0,0,0,0,3404.97,97.34,0,2.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1090.15,3293.93,0,0,0,0,0,21,11,2,0,8400.92,1195.775817,0,0,0,0,1195.775817,9596.691812,0,0,9596.695628,9596.695628
21,Budidaya rumput laut,A.3,Perikanan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,407.72,0,0.27,0,0,0,0,0,6833.55,5407.69,0,16.66,0,0,0,0,0,0,0,5168.86,0,0,0,0,0,0,0,0,0,0,1245.32,8131.81,0,0,0,0,0.4,733.2,189.9,0,0,28135.39,0,0,0,6.65133E-11,13647.07252,13647.07252,41782.45848,0,0,41782.46152,41782.46152
22,Perikanan budidaya air tawar,A.3,Perikanan,"Pertanian, Kehutanan, dan Perikanan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,1578.61,3.46,0,0,0,0,0,13033.87,37.94,0,1.09,0,0,0,0,0,0,0,226.06,0,0,0,0,0,0,0,0,0,0,160.83,240.84,0,0,0,0,8.16,244.92,31.66,0,0,15567.48,23,0,0,0,0,23,15590.47624,0,0,15590.47624,15590.47624
23,Jasa pertanian/perkebunan/peternakan/perikanan/kehutanan,A.1.e,Jasa Pertanian dan Perburuan,"Pertanian, Kehutanan, dan Perikanan",129971.95,6689.39,1856.42,6609.24,17606.88,25099.25,9046.56,16773.32,15908,107283.01,185.01,12384.78,20711.81,14724.27,1061.01,477.51,30203.23,6115.05,1512.45,30.6,1208.14,71.2,2217.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.77,0,0,0,0,0,0,0,0,0,0,0,0,0,265.98,0,0,0,0,428025.79,21,0,0,0,0,21,428046.7863,0,0,428046.7863,428046.7863
24,Pertambangan dan penggalian nonlogam,B.4,Pertambangan dan Penggalian Lainnya,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0.94,2.36,29.41,0.03,2,46.18,0,0,0,0,0,2.3,0,0,0,0,403370.44,0,0,5.13,0,1777.66,0,0,0.13,0,0,0,207856.5,0,0,3750.16,159036.46,0,0,2.88,4197087.53,0,163.72,0,0,0,0,0,0,0,0,0,7.68,44.18,133.21,0,0,0,4973318.9,2399999.336,0,97.294943,1291662.713,5912.860166,3697672.204,8670991.102,0,0,8670991.102,8670991.102
25,Pertambangan lainnya,B.2,Pertambangan Batubara dan Lignit,Pertambangan dan Penggalian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122734.01,392504.56,0,0,0.3,0,0,115.2,31.85,264.66,144.25,33.24,39026.2,0,404.21,116767.25,408469.52,5048.42,207.08,187.89,0,0,0,3765.44,3519.7,0,1710,0.01,0.31,0,0,0,0,41569.86,362.5,0,0,0,1136866.48,0,0,1294382.898,679158.8036,611845.9413,2585387.643,3722254.121,0,0,3722254.121,3722254.121
